CustomerID,Recency,Frequency,Monetary,Country,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Nama_Segmen
12420,64,1,600.39,Cyprus,3,1,3,313,7,Pelanggan Tidak Aktif
12421,16,4,807.04,Spain,4,4,3,443,11,Pelanggan Setia
12422,96,3,803.5600000000001,Australia,2,3,3,233,8,Pelanggan Vakum Lama
12423,1,8,1859.31,Belgium,5,5,4,554,14,Pelanggan Utama
12424,163,2,1760.96,Australia,2,2,4,224,8,Pelanggan Berisiko
12425,78,1,777.2,Portugal,2,1,3,213,6,Pelanggan Tidak Aktif
12426,195,1,582.73,Germany,1,1,3,113,5,Pelanggan Tidak Aktif
12427,22,3,825.8,Germany,4,3,3,433,10,Potensi Setia
12428,26,9,7956.46,Finland,4,5,5,455,14,Pelanggan Setia
12429,9,4,3750.4,Denmark,5,4,5,545,14,Pelanggan Setia
12430,43,1,256.4,Norway,3,1,2,312,6,Pelanggan Tidak Aktif
12431,36,15,6487.45,Australia,3,5,5,355,13,Pelanggan Setia
12432,43,5,5059.32,Norway,3,4,5,345,12,Pelanggan Setia
12433,1,7,13375.87,Norway,5,5,5,555,15,Pelanggan Utama
12434,85,2,806.14,Australia,2,2,3,223,7,Pelanggan Berisiko
12435,80,2,7829.89,Denmark,2,2,5,225,9,Pelanggan Berisiko
12436,100,1,509.01,Norway,2,1,3,213,6,Pelanggan Tidak Aktif
12437,2,18,4951.41,France,5,5,5,555,15,Pelanggan Utama
12438,14,2,2906.85,Norway,4,2,5,425,11,Potensi Setia
12441,367,1,173.55,France,1,1,1,111,3,Pelanggan Tidak Aktif
12442,3,1,172.06,Spain,5,1,1,511,7,Pelanggan Baru
12444,21,5,5005.46,Norway,4,4,5,445,13,Pelanggan Setia
12445,22,1,133.4,Spain,4,1,1,411,6,Pelanggan yang Menjanjikan
12446,58,1,1002.3100000000001,RSA,3,1,4,314,8,Pelanggan Tidak Aktif
12447,243,1,476.49,Belgium,1,1,2,112,4,Pelanggan Tidak Aktif
12448,44,1,449.45,Spain,3,1,2,312,6,Pelanggan Tidak Aktif
12449,22,4,4067.29,Belgium,4,4,5,445,13,Pelanggan Setia
12450,156,2,197.88,Spain,2,2,1,221,5,Pelanggan Berisiko
12451,11,5,9035.52,Switzerland,5,4,5,545,14,Pelanggan Setia
12452,17,2,430.57,Switzerland,4,2,2,422,8,Potensi Setia
12453,134,1,707.09,Austria,2,1,3,213,6,Pelanggan Tidak Aktif
12454,56,1,3528.34,Spain,3,1,5,315,9,Pelanggan Tidak Aktif
12455,73,6,2466.86,Cyprus,2,4,5,245,11,Pelanggan Vakum Lama
12456,44,3,3181.04,Switzerland,3,3,5,335,11,Perlu Perhatian
12457,66,7,2363.23,Switzerland,3,5,5,355,13,Pelanggan Setia
12458,71,2,947.4,Switzerland,3,2,4,324,9,Pelanggan Tidak Aktif
12461,94,2,826.88,Switzerland,2,2,3,223,7,Pelanggan Berisiko
12462,19,2,1189.59,Spain,4,2,4,424,10,Potensi Setia
12463,53,4,1344.78,Belgium,3,4,4,344,11,Pelanggan Setia
12464,10,8,1212.05,Belgium,5,5,4,554,14,Pelanggan Utama
12465,17,2,742.1899999999999,Belgium,4,2,3,423,9,Potensi Setia
12468,188,2,729.5400000000001,Germany,1,2,3,123,6,Pelanggan Berisiko
12471,2,30,19824.05,Germany,5,5,5,555,15,Pelanggan Utama
12472,32,7,6572.11,Germany,4,5,5,455,14,Pelanggan Setia
12473,29,5,3938.5499999999997,Germany,4,4,5,445,13,Pelanggan Setia
12474,17,18,7375.79,Germany,4,5,5,455,14,Pelanggan Setia
12475,54,1,723.38,Germany,3,1,3,313,7,Pelanggan Tidak Aktif
12476,16,11,6816.42,Germany,4,5,5,455,14,Pelanggan Setia
12477,23,6,13219.74,Germany,4,4,5,445,13,Pelanggan Setia
12478,4,1,680.99,Greece,5,1,3,513,9,Pelanggan Baru
12479,11,1,527.2,Germany,5,1,3,513,9,Pelanggan Baru
12480,28,4,3281.63,Germany,4,4,5,445,13,Pelanggan Setia
12481,23,10,5596.32,Germany,4,5,5,455,14,Pelanggan Setia
12483,17,8,2484.98,Sweden,4,5,5,455,14,Pelanggan Setia
12484,33,6,4541.72,Spain,4,4,5,445,13,Pelanggan Setia
12488,10,3,1298.66,France,5,3,4,534,12,Potensi Setia
12489,336,1,334.93,France,1,1,2,112,4,Pelanggan Tidak Aktif
12490,5,10,5417.93,France,5,5,5,555,15,Pelanggan Utama
12491,39,1,460.40000000000003,France,3,1,2,312,6,Pelanggan Tidak Aktif
12492,63,2,263.21000000000004,Germany,3,2,2,322,7,Pelanggan Tidak Aktif
12493,166,2,433.74,France,2,2,2,222,6,Pelanggan Berisiko
12494,16,7,1246.1000000000001,France,4,5,4,454,13,Pelanggan Setia
12497,82,1,1043.1,Germany,2,1,4,214,7,Pelanggan Tidak Aktif
12498,21,3,403.70000000000005,Germany,4,3,2,432,9,Potensi Setia
12500,23,11,4257.82,Germany,4,5,5,455,14,Pelanggan Setia
12501,337,1,2169.39,Germany,1,1,5,115,7,Pelanggan Tidak Aktif
12502,96,5,3723.87,Spain,2,4,5,245,11,Pelanggan Vakum Lama
12504,18,2,482.04999999999995,Germany,4,2,2,422,8,Potensi Setia
12506,233,1,73.5,France,1,1,1,111,3,Pelanggan Tidak Aktif
12507,134,3,1304.81,Spain,2,3,4,234,9,Pelanggan Vakum Lama
12508,26,2,398.27,France,4,2,2,422,8,Potensi Setia
12509,284,1,176.5,France,1,1,1,111,3,Pelanggan Tidak Aktif
12510,143,2,982.5699999999999,Spain,2,2,4,224,8,Pelanggan Berisiko
12512,66,2,138.03,Israel,3,2,1,321,6,Pelanggan Tidak Aktif
12513,113,1,612.29,France,2,1,3,213,6,Pelanggan Tidak Aktif
12514,267,1,1017.68,Italy,1,1,4,114,6,Pelanggan Tidak Aktif
12515,353,1,383.7,Italy,1,1,2,112,4,Pelanggan Tidak Aktif
12516,78,2,1312.06,Germany,2,2,4,224,8,Pelanggan Berisiko
12517,28,5,2502.84,Germany,4,4,5,445,13,Pelanggan Setia
12518,1,5,2056.89,Germany,5,4,4,544,13,Pelanggan Setia
12519,64,1,340.84,Germany,3,1,2,312,6,Pelanggan Tidak Aktif
12520,79,5,2634.26,Germany,2,4,5,245,11,Pelanggan Vakum Lama
12521,143,1,599.68,Germany,2,1,3,213,6,Pelanggan Tidak Aktif
12522,39,2,192.72,Germany,3,2,1,321,6,Pelanggan Tidak Aktif
12523,19,11,1789.77,France,4,5,4,454,13,Pelanggan Setia
12524,9,8,4485.72,Germany,5,5,5,555,15,Pelanggan Utama
12526,1,3,1316.66,Germany,5,3,4,534,12,Potensi Setia
12527,82,3,348.71000000000004,Germany,2,3,2,232,7,Pelanggan Vakum Lama
12528,9,6,1933.48,Germany,5,5,4,554,14,Pelanggan Utama
12530,60,4,1662.28,Germany,3,4,4,344,11,Pelanggan Setia
12531,15,1,125.22,Germany,4,1,1,411,6,Pelanggan yang Menjanjikan
12532,30,1,349.83000000000004,France,4,1,2,412,7,Pelanggan yang Menjanjikan
12534,131,1,1089.18,Germany,2,1,4,214,7,Pelanggan Tidak Aktif
12535,92,2,716.35,France,2,2,3,223,7,Pelanggan Berisiko
12536,43,3,12601.830000000002,France,3,3,5,335,11,Perlu Perhatian
12538,29,1,363.95,Spain,4,1,2,412,7,Pelanggan yang Menjanjikan
12539,22,4,5568.35,Spain,4,4,5,445,13,Pelanggan Setia
12540,20,17,13400.24,Spain,4,5,5,455,14,Pelanggan Setia
12541,30,3,981.18,Spain,4,3,4,434,11,Potensi Setia
12544,36,1,372.7,Spain,3,1,2,312,6,Pelanggan Tidak Aktif
12545,75,2,1000.39,Spain,2,2,4,224,8,Pelanggan Berisiko
12546,47,2,1161.5,Spain,3,2,4,324,9,Pelanggan Tidak Aktif
12547,198,2,207.79999999999998,Spain,1,2,1,121,4,Pelanggan Berisiko
12548,166,1,95.19999999999999,Spain,2,1,1,211,4,Pelanggan Tidak Aktif
12550,79,1,964.83,Spain,2,1,4,214,7,Pelanggan Tidak Aktif
12551,358,1,168.0,Spain,1,1,1,111,3,Pelanggan Tidak Aktif
12552,39,2,437.82,Italy,3,2,2,322,7,Pelanggan Tidak Aktif
12553,8,10,3692.28,France,5,5,5,555,15,Pelanggan Utama
12556,50,2,603.71,Spain,3,2,3,323,8,Pelanggan Tidak Aktif
12557,16,5,11990.960000000001,Spain,4,4,5,445,13,Pelanggan Setia
12558,8,1,269.96,USA,5,1,2,512,8,Pelanggan Baru
12559,311,2,561.71,Germany,1,2,3,123,6,Pelanggan Berisiko
12560,5,3,2134.01,Germany,5,3,5,535,13,Potensi Setia
12561,303,1,238.85,Germany,1,1,1,111,3,Pelanggan Tidak Aktif
12562,8,7,3781.7400000000002,France,5,5,5,555,15,Pelanggan Utama
12564,261,1,456.9,France,1,1,2,112,4,Pelanggan Tidak Aktif
12565,289,1,145.92,Saudi Arabia,1,1,1,111,3,Pelanggan Tidak Aktif
12566,86,1,351.65,Germany,2,1,2,212,5,Pelanggan Tidak Aktif
12567,23,10,9401.28,France,4,5,5,455,14,Pelanggan Setia
12569,2,32,4124.69,Germany,5,5,5,555,15,Pelanggan Utama
12571,40,2,519.61,France,3,2,3,323,8,Pelanggan Tidak Aktif
12572,9,2,1020.42,Germany,5,2,4,524,11,Potensi Setia
12573,227,1,160.54000000000002,France,1,1,1,111,3,Pelanggan Tidak Aktif
12574,316,1,218.45,France,1,1,1,111,3,Pelanggan Tidak Aktif
12576,36,5,1315.83,Poland,3,4,4,344,11,Pelanggan Setia
12577,35,3,657.8,France,3,3,3,333,9,Perlu Perhatian
12578,21,2,2794.51,Italy,4,2,5,425,11,Potensi Setia
12579,78,1,440.42,France,2,1,2,212,5,Pelanggan Tidak Aktif
12580,247,1,415.7,Germany,1,1,2,112,4,Pelanggan Tidak Aktif
12581,40,1,197.71,Germany,3,1,1,311,5,Pelanggan Tidak Aktif
12582,239,2,511.36,Finland,1,2,3,123,6,Pelanggan Berisiko
12583,3,15,7281.38,France,5,5,5,555,15,Pelanggan Utama
12584,4,9,2338.15,Italy,5,5,5,555,15,Pelanggan Utama
12585,234,2,2040.1,Germany,1,2,4,124,7,Pelanggan Berisiko
12586,17,1,196.94000000000003,Italy,4,1,1,411,6,Pelanggan yang Menjanjikan
12587,8,1,144.0,Finland,5,1,1,511,7,Pelanggan Baru
12588,39,1,214.89999999999998,Finland,3,1,1,311,5,Pelanggan Tidak Aktif
12589,29,2,646.68,France,4,2,3,423,9,Potensi Setia
12590,211,2,9864.26,Germany,1,2,5,125,8,Pelanggan Berisiko
12591,317,1,452.84999999999997,Italy,1,1,2,112,4,Pelanggan Tidak Aktif
12592,92,2,437.6,Germany,2,2,2,222,6,Pelanggan Berisiko
12593,109,3,418.09999999999997,France,2,3,2,232,7,Pelanggan Vakum Lama
12594,38,10,3338.2200000000003,Italy,3,5,5,355,13,Pelanggan Setia
12596,51,2,618.27,Spain,3,2,3,323,8,Pelanggan Tidak Aktif
12597,19,4,3811.22,Spain,4,4,5,445,13,Pelanggan Setia
12598,10,8,3023.08,France,5,5,5,555,15,Pelanggan Utama
12599,29,7,1032.58,France,4,5,4,454,13,Pelanggan Setia
12600,29,10,2599.04,Germany,4,5,5,455,14,Pelanggan Setia
12601,190,5,577.0600000000001,Germany,1,4,3,143,8,Pelanggan Hilang
12602,59,1,153.12,France,3,1,1,311,5,Pelanggan Tidak Aktif
12603,22,1,739.1999999999999,Germany,4,1,3,413,8,Pelanggan yang Menjanjikan
12604,79,2,254.18,France,2,2,2,222,6,Pelanggan Berisiko
12607,60,1,1579.51,USA,3,1,4,314,8,Pelanggan Tidak Aktif
12609,78,3,1126.85,Germany,2,3,4,234,9,Pelanggan Vakum Lama
12610,23,5,2099.54,Italy,4,4,5,445,13,Pelanggan Setia
12611,52,1,1193.32,Italy,3,1,4,314,8,Pelanggan Tidak Aktif
12612,74,1,704.0400000000001,Germany,2,1,3,213,6,Pelanggan Tidak Aktif
12613,57,5,3344.38,Germany,3,4,5,345,12,Pelanggan Setia
12614,278,1,315.6,Germany,1,1,2,112,4,Pelanggan Tidak Aktif
12615,2,4,2291.19,France,5,4,5,545,14,Pelanggan Setia
12616,95,2,713.3,France,2,2,3,223,7,Pelanggan Berisiko
12617,29,1,355.53,France,4,1,2,412,7,Pelanggan yang Menjanjikan
12618,22,1,177.31,Italy,4,1,1,411,6,Pelanggan yang Menjanjikan
12619,16,9,3641.24,Germany,4,5,5,455,14,Pelanggan Setia
12620,15,3,1339.41,France,4,3,4,434,11,Potensi Setia
12621,2,20,13689.67,Germany,5,5,5,555,15,Pelanggan Utama
12622,232,1,180.1,Germany,1,1,1,111,3,Pelanggan Tidak Aktif
12623,276,1,305.1,Germany,1,1,2,112,4,Pelanggan Tidak Aktif
12624,106,2,641.13,France,2,2,3,223,7,Pelanggan Berisiko
12625,212,2,2683.82,Germany,1,2,5,125,8,Pelanggan Berisiko
12626,23,9,6620.48,Germany,4,5,5,455,14,Pelanggan Setia
12627,11,7,4478.53,Germany,5,5,5,555,15,Pelanggan Utama
12628,4,3,786.46,Germany,5,3,3,533,11,Potensi Setia
12630,10,2,1270.88,Finland,5,2,4,524,11,Potensi Setia
12631,57,1,640.5,Finland,3,1,3,313,7,Pelanggan Tidak Aktif
12633,59,4,2163.98,Germany,3,4,5,345,12,Pelanggan Setia
12635,90,2,1689.18,Germany,2,2,4,224,8,Pelanggan Berisiko
12637,67,8,6021.9,France,3,5,5,355,13,Pelanggan Setia
12638,33,1,671.69,Sweden,4,1,3,413,8,Pelanggan yang Menjanjikan
12639,239,1,486.1,Sweden,1,1,2,112,4,Pelanggan Tidak Aktif
12640,24,3,1174.58,France,4,3,4,434,11,Potensi Setia
12641,115,1,185.9,Sweden,2,1,1,211,4,Pelanggan Tidak Aktif
12642,25,3,1013.26,Germany,4,3,4,434,11,Potensi Setia
12643,128,6,3344.64,France,2,5,5,255,12,Pelanggan Vakum Lama
12644,130,1,477.91,Germany,2,1,2,212,5,Pelanggan Tidak Aktif
12645,34,4,1775.18,Germany,3,4,4,344,11,Pelanggan Setia
12646,5,2,1346.97,USA,5,2,4,524,11,Potensi Setia
12647,22,12,3722.82,Germany,4,5,5,455,14,Pelanggan Setia
12648,155,1,318.05,Germany,2,1,2,212,5,Pelanggan Tidak Aktif
12649,107,3,623.51,Germany,2,3,3,233,8,Pelanggan Vakum Lama
12650,3,1,314.44,France,5,1,2,512,8,Pelanggan Baru
12651,335,1,114.0,France,1,1,1,111,3,Pelanggan Tidak Aktif
12652,331,1,919.98,France,1,1,3,113,5,Pelanggan Tidak Aktif
12653,149,2,2209.85,Israel,2,2,5,225,9,Pelanggan Berisiko
12654,11,5,601.98,Germany,5,4,3,543,12,Pelanggan Setia
12656,17,5,4051.17,France,4,4,5,445,13,Pelanggan Setia
12657,11,4,1643.18,France,5,4,4,544,13,Pelanggan Setia
12658,19,1,686.05,Germany,4,1,3,413,8,Pelanggan yang Menjanjikan
12659,30,1,91.68,France,4,1,1,411,6,Pelanggan yang Menjanjikan
12660,11,1,245.1,France,5,1,1,511,7,Pelanggan Baru
12662,1,11,3849.78,Germany,5,5,5,555,15,Pelanggan Utama
12664,8,9,4881.88,Finland,5,5,5,555,15,Pelanggan Utama
12665,325,1,63.0,Germany,1,1,1,111,3,Pelanggan Tidak Aktif
12667,58,1,620.13,Finland,3,1,3,313,7,Pelanggan Tidak Aktif
12668,12,4,3807.15,Germany,5,4,5,545,14,Pelanggan Setia
12669,151,3,2744.0299999999997,France,2,3,5,235,10,Pelanggan Vakum Lama
12670,10,5,2996.05,France,5,4,5,545,14,Pelanggan Setia
12672,330,1,225.89999999999998,France,1,1,1,111,3,Pelanggan Tidak Aktif
12673,5,2,610.52,Germany,5,2,3,523,10,Potensi Setia
12674,39,4,1970.6,France,3,4,4,344,11,Pelanggan Setia
12676,25,6,1331.39,Sweden,4,5,4,454,13,Pelanggan Setia
12678,42,12,17628.46,France,3,5,5,355,13,Pelanggan Setia
12679,59,4,1113.02,France,3,4,4,344,11,Pelanggan Setia
12680,1,4,862.81,France,5,4,3,543,12,Pelanggan Setia
12681,15,22,13787.54,France,4,5,5,455,14,Pelanggan Setia
12682,4,31,12288.22,France,5,5,5,555,15,Pelanggan Utama
12683,4,15,8476.57,France,5,5,5,555,15,Pelanggan Utama
12684,8,7,2283.63,France,5,5,5,555,15,Pelanggan Utama
12685,28,6,2863.08,France,4,5,5,455,14,Pelanggan Setia
12686,372,1,89.14,France,1,1,1,111,3,Pelanggan Tidak Aktif
12688,114,1,4873.8099999999995,Israel,2,1,5,215,8,Pelanggan Tidak Aktif
12689,26,2,1247.61,France,4,2,4,424,10,Potensi Setia
12690,206,1,389.01,France,1,1,2,112,4,Pelanggan Tidak Aktif
12691,28,6,1035.8,France,4,5,4,454,13,Pelanggan Setia
12693,127,4,855.91,Germany,2,4,3,243,9,Pelanggan Vakum Lama
12694,70,2,869.67,France,3,2,3,323,8,Pelanggan Tidak Aktif
12695,7,4,582.1,France,5,4,3,543,12,Pelanggan Setia
12697,29,3,957.59,Sweden,4,3,4,434,11,Potensi Setia
12700,8,4,4939.99,France,5,4,5,545,14,Pelanggan Setia
12701,80,2,797.71,Germany,2,2,3,223,7,Pelanggan Berisiko
12702,20,1,219.0,Germany,4,1,1,411,6,Pelanggan yang Menjanjikan
12703,71,1,283.55,Germany,3,1,2,312,6,Pelanggan Tidak Aktif
12704,7,8,2340.84,Finland,5,5,5,555,15,Pelanggan Utama
12705,15,9,6868.29,Germany,4,5,5,455,14,Pelanggan Setia
12707,292,1,603.42,France,1,1,3,113,5,Pelanggan Tidak Aktif
12708,30,10,2712.91,Germany,4,5,5,455,14,Pelanggan Setia
12709,15,15,9736.52,Germany,4,5,5,455,14,Pelanggan Setia
12710,97,3,1149.02,Germany,2,3,4,234,9,Pelanggan Vakum Lama
12712,29,13,4396.13,Germany,4,5,5,455,14,Pelanggan Setia
12713,1,1,848.55,Germany,5,1,3,513,9,Pelanggan Baru
12714,9,5,4708.86,France,5,4,5,545,14,Pelanggan Setia
12715,106,1,353.86,Sweden,2,1,2,212,5,Pelanggan Tidak Aktif
12716,4,2,1053.49,France,5,2,4,524,11,Potensi Setia
12717,151,2,1030.98,Greece,2,2,4,224,8,Pelanggan Berisiko
12718,71,1,238.25,France,3,1,1,311,5,Pelanggan Tidak Aktif
12719,5,2,644.95,France,5,2,3,523,10,Potensi Setia
12720,3,25,5781.73,Germany,5,5,5,555,15,Pelanggan Utama
12721,32,6,2656.13,France,4,5,5,455,14,Pelanggan Setia
12722,85,4,997.63,France,2,4,4,244,10,Pelanggan Vakum Lama
12723,4,5,725.07,France,5,4,3,543,12,Pelanggan Setia
12724,5,4,1031.41,France,5,4,4,544,13,Pelanggan Setia
12725,371,1,427.8,Italy,1,1,2,112,4,Pelanggan Tidak Aktif
12726,28,7,2609.1,France,4,5,5,455,14,Pelanggan Setia
12727,11,7,3980.7,France,5,5,5,555,15,Pelanggan Utama
12728,71,4,836.33,France,3,4,3,343,10,Pelanggan Setia
12729,114,1,453.01,France,2,1,2,212,5,Pelanggan Tidak Aktif
12731,24,12,18895.91,France,4,5,5,455,14,Pelanggan Setia
12732,180,1,236.26000000000002,France,1,1,1,111,3,Pelanggan Tidak Aktif
12733,234,1,383.95,USA,1,1,2,112,4,Pelanggan Tidak Aktif
12734,353,1,110.39999999999999,France,1,1,1,111,3,Pelanggan Tidak Aktif
12735,315,2,779.5699999999999,France,1,2,3,123,6,Pelanggan Berisiko
12736,333,1,234.0,France,1,1,1,111,3,Pelanggan Tidak Aktif
12738,372,1,155.35,Germany,1,1,1,111,3,Pelanggan Tidak Aktif
12739,78,2,1013.04,United Arab Emirates,2,2,4,224,8,Pelanggan Berisiko
12740,64,1,427.6,France,3,1,2,312,6,Pelanggan Tidak Aktif
12743,134,2,546.43,Unspecified,2,2,3,223,7,Pelanggan Berisiko
12744,52,7,21279.29,Singapore,3,5,5,355,13,Pelanggan Setia
12747,2,11,4196.01,United Kingdom,5,5,5,555,15,Pelanggan Utama
12748,1,209,33719.73,United Kingdom,5,5,5,555,15,Pelanggan Utama
12749,4,5,4090.88,United Kingdom,5,4,5,545,14,Pelanggan Setia
12750,129,1,275.88,Poland,2,1,2,212,5,Pelanggan Tidak Aktif
12752,81,1,4366.78,Norway,2,1,5,215,8,Pelanggan Tidak Aktif
12753,23,6,21429.39,Japan,4,5,5,455,14,Pelanggan Setia
12754,236,3,3010.74,Japan,1,3,5,135,9,Pelanggan Berisiko
12755,281,2,3811.95,Japan,1,2,5,125,8,Pelanggan Berisiko
12756,87,1,112.07999999999998,Japan,2,1,1,211,4,Pelanggan Tidak Aktif
12757,16,13,7857.1,Portugal,4,5,5,455,14,Pelanggan Setia
12758,117,2,2791.59,Portugal,2,2,5,225,9,Pelanggan Berisiko
12759,52,3,1531.44,Netherlands,3,3,4,334,10,Perlu Perhatian
12762,8,2,1898.52,Portugal,5,2,4,524,11,Potensi Setia
12763,138,2,494.08,Japan,2,2,3,223,7,Pelanggan Berisiko
12764,317,1,1693.88,Lebanon,1,1,4,114,6,Pelanggan Tidak Aktif
12766,4,7,6989.63,Portugal,5,5,5,555,15,Pelanggan Utama
12769,239,1,1143.6,Brazil,1,1,4,114,6,Pelanggan Tidak Aktif
12770,211,1,1351.45,Japan,1,1,4,114,6,Pelanggan Tidak Aktif
12772,60,1,892.47,Portugal,3,1,3,313,7,Pelanggan Tidak Aktif
12775,17,5,1386.04,Netherlands,4,4,4,444,12,Pelanggan Setia
12778,20,6,822.23,Netherlands,4,5,3,453,12,Pelanggan Setia
12779,38,8,3981.36,Poland,3,5,5,355,13,Pelanggan Setia
12781,64,2,826.74,Czech Republic,3,2,3,323,8,Pelanggan Tidak Aktif
12782,5,5,2330.92,Portugal,5,4,5,545,14,Pelanggan Setia
12783,2,6,2225.91,Portugal,5,5,5,555,15,Pelanggan Utama
12784,9,2,574.42,Portugal,5,2,3,523,10,Potensi Setia
12785,364,1,311.95,Portugal,1,1,2,112,4,Pelanggan Tidak Aktif
12787,10,3,463.66,Netherlands,5,3,2,532,10,Potensi Setia
12789,65,1,91.85,Netherlands,3,1,1,311,5,Pelanggan Tidak Aktif
12790,192,1,324.92,Netherlands,1,1,2,112,4,Pelanggan Tidak Aktif
12791,374,1,192.60000000000002,Netherlands,1,1,1,111,3,Pelanggan Tidak Aktif
12792,257,1,400.53999999999996,Portugal,1,1,2,112,4,Pelanggan Tidak Aktif
12793,335,2,545.48,Portugal,1,2,3,123,6,Pelanggan Berisiko
12794,53,2,860.41,Portugal,3,2,3,323,8,Pelanggan Tidak Aktif
12795,19,1,430.48,Portugal,4,1,2,412,7,Pelanggan yang Menjanjikan
12797,366,1,254.03,Portugal,1,1,2,112,4,Pelanggan Tidak Aktif
12798,10,3,6977.04,Japan,5,3,5,535,13,Potensi Setia
12802,187,1,427.58,Netherlands,1,1,2,112,4,Pelanggan Tidak Aktif
12808,37,3,483.65000000000003,Portugal,3,3,2,332,8,Perlu Perhatian
12809,178,1,489.31,Portugal,2,1,2,212,5,Pelanggan Tidak Aktif
